CSAPÁGYAK	GOLYÓS CSAPÁGY	MÉLYHORNYÚ GOLYÓSCSAPÁGY	EGYSORÚ MÉLYHORNYÚ GOLYÓSCSAPÁGY	BECO fagyálló egysorú mélyhornyú golyóscsapágy
				SKF műanyag Y csapágyegység, négyzet alakú házzal
				SKF műanyag Y csapágyegység, ovális alakú házzal
				SKF műanyag, álló Y csapágyegység (composit)
				SKF öntött Y csapágyegység, álló (zsákfurattal)
				SKF öntött Y csapágyegység, álló házzal
				SKF öntött Y csapágyegység, álló házzal /350°C
				SKF öntött Y csapágyegység, kör alakú házzal
				SKF öntött Y csapágyegység, négyzet alakú házzal
				SKF öntött Y csapágyegység, négyzet házzal /250°C
				SKF öntött Y csapágyegység, négyzet házzal /350°C
				SKF öntött Y csapágyegység, ovális alakú házzal
				SKF öntött, álló Y csapágyegység
				SKF öntött, álló Y csapágyegység (zsákfurattal)
				SKF rozsdamentes, álló Y csapágyegység (élelm.ip)
				SKF Y csapágy élelmiszeripari alk. /hernyócsavaros
				SKF Y csapágyegység (SYF 508 + YAR 208-2F)
				SKF Y csapágyegység (SYFJ 505 + YAR 205-2F)
				SKF Y élelmiszerip cs.egys rm csapágy composit ház
				SKF Y-csapágyegység élelmiszeripari alk. (három f)
				SKF Y-csapágyegység élelmiszeripari alk. (négyzet)
				SKF Y-csapágyegység élelmiszeripari alk. (ovális)
				SNR élelmiszeripari Y csapágyegység négyzet házzal
				SNR öntött Y csapágyegység, kör alakú házzal
				SNR öntött Y csapágyegység, négyzet alakú házzal
				SNR Y csapágyegység
				TIMKEN Y csapágyegység
				ZKL/ZVL öntött álló Y csapágyegység
				ZKL/ZVL öntött Y csapágyegység, kör alakú házzal
				ZKL/ZVL öntött Y csapágyegység, négyzet alakú h.
				ZKL/ZVL öntött Y csapágyegység, négyzet alakú ház
				ZKL/ZVL öntött Y csapágyegység, ovális alakú ház
		FERDE HATÁSVONALÚ GOLYÓSCSAPÁGY	FERDE HATÁSVONALÚ GOLYÓSCSAPÁGY	ELGES egysorú ferde hatásvonalú golyóscsapágy
				FAG egysorú ferde hatásvonalú golyóscsapágy
				FAG kétsorú ferdehatásvonalú golyóscsapágy
				FAG négypont-érintkezésű golyóscsapágy
				FAG párosított ferde hatásvonalú golyóscsapágy 2db
				FAG párosított ferdehatásvonalú golyóscsapágy
				GMN egysorú ferde hatásvonalú golyóscsapágy
				GMN párosított ferde hatásvonalú golyóscsapágy 2db
				IBC egysorú ferde hatásvonalú golyóscsapágy
				INA egysorú ferde hatásvonalú golyóscsapágy
				INA kétsorú ferdehatásvonalú golyóscsap. porvédős
				INA kétsorú ferdehatásvonalú golyóscsapágy
				KELETI egysorú ferde hatásvonalú golyóscsapágy
				KELETI kétsorú ferdehatásvonalú golyóscsapágy
				Kétsorú ferdehatásvonalú golyóscsapágy
