TERMOKKOD	TERMEKNEV	KEP 1	KEP 2	KEP 3
KS 503.4606	KS TOOLS csillag-villás kulcs, racsnis, 6mm	https://www.kstools.com/media/image/a7/4b/dd/FOT_PRO_ALG_503-4608_SALL_AING_V15b82e7b8b804b_600x600.jpg		
KS 503.4608	KS TOOLS csillag-villás kulcs, racsnis, 8mm	https://www.kstools.com/media/image/a7/4b/dd/FOT_PRO_ALG_503-4608_SALL_AING_V15b82e7b8b804b_600x600.jpg		
KS 917.0779	KS TOOLS dugókulcs klt., 1/4"-3/8"-1/2" 179 részes	https://www.kstools.com/media/image/e6/46/61/FOT_PRO_ALG_917-0779_SALL_AING_V1tzP6I0Heyv2QM_200x200.jpg	https://www.kstools.com/media/image/90/e3/94/FOT_GES_ALG_917-0779-GB_SALL_AING_V1J1cfn9GkTk8Mc_600x600.jpg	
KS 115.1015	KS TOOLS homlokcsípő fogó, 160mm	https://www.kstools.com/media/image/5e/59/9c/FOT_PRO_ALG_ZA_115-1015_SALL_AING_V15b8be67945e9c_600x600.jpg		
KS 151.2180	KS TOOLS imbuszkulcs 8db-os klt. hosszú, 2-10mm	https://www.kstools.com/media/image/f3/ba/51/FOT_PRO_ALG_151-2180_SALL_AING_V15b82646b9fe48_600x600.jpg		
KS 151.2103	KS TOOLS imbuszkulcs hosszú, gömbvégű, 3mm	https://www.kstools.com/media/image/9e/c3/b9/FOT_PRO_ALG_STIF_151-21013_SALL_AING_V15b82642f57996_600x600.jpg		
KS 151.2130	KS TOOLS imbuszkulcs klt. 8db-os, colos, 5/64-3/8"	https://www.kstools.com/media/image/32/94/11/FOT_GES_ALG_151-2130-GB_SALL_AING_V1_600x600.jpg		
KS 151.2100	KS TOOLS imbuszkulcs klt. 8db-os, hosszú, 2-10mm	https://www.kstools.com/media/image/de/cb/e3/FOT_PRO_ALG_151-2100_SALL_AING_V15b8264181bacb_600x600.jpg		
KS 151.4420	KS TOOLS imbuszkulcs klt. 9db-os, hosszú, 1,5-10mm	https://www.kstools.com/media/image/88/d9/0d/FOT_GES_ALG_151-4420-GB_SALL_AING_V1_600x600.jpg		
KS 907.2105	KS TOOLS kábelvágó kés összecsukható 78/193mm	https://www.kstools.com/media/image/be/b7/0a/FOT_PRO_ALG_907-2105_SALL_AING_V15b8381e5288d6_600x600.jpg	https://www.kstools.com/media/image/a9/4e/5b/FOT_GES_ALG_907-2105-GB_SALL_AING_V1_600x600.jpg	
KS 907.2220	KS TOOLS kábelvágó kés összecsukható 85/210mm	https://www.haberkorn.com/dam/510x510/0003C5AD.jpg		
KS 115.1020	KS TOOLS kombinált fogó, 160mm	https://www.kstools.com/media/image/e9/11/a0/FOT_PRO_ALG_115-1020_SALL_AING_V1_600x600.jpg		
KS 159.1026	KS TOOLS marokcsavarhúzó, PH2	https://www.kstools.com/media/image/da/59/4b/FOT_PRO_ALG_159-1026_SALL_AING_V160270f7924723_600x600.jpg		
KS 159.1256	KS TOOLS marokcsavarhúzó, TW2	https://www.kstools.com/media/image/8c/ed/a0/FOT_PRO_ALG_159-1256_SALL_AING_V1_600x600.jpg		
KS 114.0055	KS TOOLS multifunkciós kulcs, kétoldalas, 8-32mm	https://www.kstools.com/media/image/c4/e9/2b/FOT_PRO_ALG_114-0055_SALL_AING_V1_600x600.jpg	https://www.haberkorn.com/dam/510x510/02FB4EAE.jpg	
KS 155.5002	KS TOOLS olajszűrő leszedő, acélpántos, 65-110mm	https://www.kstools.com/media/image/c7/86/76/FOT_PRO_ALG_155-5002_SALL_AING_V1F7tz06vSxUc9F_600x600.jpg		
KS 115.1012	KS TOOLS oldalcsípő fogó, 160mm	https://www.kstools.com/media/image/c0/55/2b/FOT_PRO_ALG_115-1012_SALL_AING_V1_600x600.jpg		
KS 907.2172	KS TOOLS összecsukható PVC vágó kés készlet (2db)	https://www.haberkorn.com/dam/510x510/010008D2.jpg		
KS 500.1034	KS TOOLS seegergyűrű fogó belső 130mm I12-25mm	https://www.kstools.com/media/image/de/3b/88/FOT_PRO_ALG_500-1034_SALL_AING_V1_600x600.jpg		
KS 500.1035	KS TOOLS seegergyűrű fogó belső 160mm I19-60mm	https://www.kstools.com/media/image/33/f6/5c/FOT_PRO_ALG_500-1035_SALL_AING_V15b82d7f458c52_600x600.jpg		
KS 500.1036	KS TOOLS seegergyűrű fogó belső 230mm I40-100mm	https://www.kstools.com/media/image/bb/14/03/FOT_PRO_ALG_500-1036_SALL_AING_V1_600x600.jpg		
KS 500.1031	KS TOOLS seegergyűrű fogó belső 90° 130mm I12-25mm	https://www.kstools.com/media/image/2c/ee/11/FOT_PRO_ALG_500-1031_SALL_AING_V1_600x600.jpg		
KS 500.1032	KS TOOLS seegergyűrű fogó belső 90° 160mm I19-60mm	https://www.kstools.com/media/image/bc/fc/d2/FOT_PRO_ALG_500-1032_SALL_AING_V1_600x600.jpg		
KS 500.1033	KS TOOLS seegergyűrű fogó belső 90° 230mmI40-100mm	https://www.kstools.com/media/image/d8/c6/74/FOT_PRO_ALG_500-1033_SALL_AING_V1_600x600.jpg		
KS 500.1028	KS TOOLS seegergyűrű fogó külső 130mm A10-25mm	https://www.kstools.com/media/image/56/4d/d0/FOT_PRO_ALG_500-1028_SALL_AING_V1_600x600.jpg		
KS 500.1029	KS TOOLS seegergyűrű fogó külső 160mm A19-60mm	https://www.kstools.com/media/image/92/02/e1/FOT_PRO_ALG_500-1029_SALL_AING_V15b82d797907ba_600x600.jpg		
KS 500.1030	KS TOOLS seegergyűrű fogó külső 230mm A40-100mm	https://www.kstools.com/media/image/92/02/e1/FOT_PRO_ALG_500-1029_SALL_AING_V15b82d797907ba_600x600.jpg		
KS 500.1025	KS TOOLS seegergyűrű fogó külső 90° 130mm A10-25mm	https://www.kstools.com/media/image/52/a1/28/FOT_PRO_ALG_500-1025_SALL_AING_V1_600x600.jpg		
KS 500.1026	KS TOOLS seegergyűrű fogó külső 90° 160mm A19-60mm	https://www.kstools.com/media/image/f3/4a/48/FOT_PRO_ALG_500-1026_SALL_AING_V1_600x600.jpg		
KS 500.1027	KS TOOLS seegergyűrű fogó külső 90° 230mmA40-100mm	https://www.kstools.com/media/image/2c/d6/38/FOT_PRO_ALG_500-1027_SALL_AING_V1_600x600.jpg		
KS 907.2180	KS TOOLS tapétavágó kés, tördelhető pengés, 125mm	https://www.kstools.com/media/image/cf/51/ed/FOT_PRO_ALG_907-2180_SALL_AING_V15b83831cc3ba9_600x600.jpg		
KS 907.2152	KS TOOLS tapétavágó kés, tördelhető pengés, 140mm	https://www.haberkorn.com/dam/510x510/0001EC67.jpg		
KS 907.2120	KS TOOLS tapétavágó kés, tördelhető pengés, 145mm	https://www.kstools.com/media/image/18/33/73/FOT_PRO_ALG_907-2120_SALL_AING_V15b83820bd6cfe_200x200.jpg		
KS 907.2157	KS TOOLS tapétavágó kés, tördelhető pengés, 150mm	https://www.haberkorn.com/dam/510x510/01000717.jpg		
